,0,TF
39371|AR,0.06613067805793618,AR
38311|CTNNB1,0.06717869355443384,CTNNB1
55367|PAX6,0.06808831357172283,PAX6
41841|RAD21,0.06874298006529884,RAD21
50212|GTF2B,0.06938929493672753,GTF2B
44219|SMARCC2,0.07033216173348472,SMARCC2
9183|PAX7,0.07419756811576936,PAX7
33267|FOXO3,0.07421295157670496,FOXO3
52674|C17orf96,0.07425950283415007,C17orf96
58596|GATA3,0.07448782956280946,GATA3
53005|KAT2B,0.074982329438426,KAT2B
53155|DNMT3A,0.0761877558212133,DNMT3A
59158|TRIM28,0.07843817348869997,TRIM28
47313|RBPJ,0.08002740729218365,RBPJ
421|NR5A2,0.08203341720237152,NR5A2
33652|H2AFX,0.08617037191975395,H2AFX
9289|DMC1,0.0872013323029515,DMC1
39617|RUNX1,0.09014970534979255,RUNX1
43908|RELA,0.09477510440518938,RELA
4412|NR1D1,0.09629755200164516,NR1D1
37400|PR,0.09630884047278601,PR
52890|HDAC3,0.10180832728172282,HDAC3
38468|HSF1,0.10350448400487275,HSF1
54446|EBF1,0.10373818674145084,EBF1
56386|TCF4,0.10410526491691577,TCF4
44147|SRF,0.10819987332652434,SRF
35677|KMT2C,0.109977979409288,KMT2C
52228|TP53,0.11030149908621226,TP53
35821|SUPT6H,0.11180967596982613,SUPT6H
58969|SETDB1,0.11218555472831843,SETDB1
54230|GATA6,0.1124413843948411,GATA6
36996|CHD4,0.11584337040937878,CHD4
50079|TAL1,0.11632727693149503,TAL1
52041|EZH1,0.11723895946696951,EZH1
9939|AHR,0.12161566852934791,AHR
59295|ATF4,0.12320340865860405,ATF4
38610|STAT5A,0.12389186879895495,STAT5A
44160|ELK1,0.12397621413110645,ELK1
520|GATA2,0.12420781380050434,GATA2
2905|TCF7L1,0.12423075303343142,TCF7L1
37715|PRDM4,0.12723259564179518,PRDM4
51325|ZIC1/2,0.12776287893613375,ZIC1/2
328|SIN3B,0.12819764103999542,SIN3B
52983|ARID1A,0.12942086244756726,ARID1A
58298|RFX2,0.13146151794899288,RFX2
52902|MED1,0.13214678881420852,MED1
8836|STAG2,0.13351303207934237,STAG2
50597|IRF8,0.13752586120981383,IRF8
2983|AFF4,0.1397088486031422,AFF4
4569|STAT3,0.14081659963589108,STAT3
33940|EHF,0.14385535978213126,EHF
32927|BRDU,0.1441843150555785,BRDU
8346|HOXA9,0.14482275628773483,HOXA9
37899|IRF1,0.14692514777204338,IRF1
9103|TEAD4,0.15147971078217204,TEAD4
41955|RUNX3,0.15617257846030222,RUNX3
44364|ING1,0.15689389495188727,ING1
38373|STAT1,0.15740372505503217,STAT1
9157|NKX3-1,0.16173493741079673,NKX3-1
51961|ZIC3,0.164841206152295,ZIC3
40114|RORC,0.16520645758183927,RORC
451|SMAD2,0.16668010209529885,SMAD2
36703|IKZF1,0.16747361672347102,IKZF1
3004|CBX5,0.17188100469670323,CBX5
3228|ELL2,0.17414125747985104,ELL2
48644|ARID3A,0.17680361442653028,ARID3A
32926|BRCA1,0.17729952487259762,BRCA1
53248|MED12,0.18207294357472784,MED12
56089|SMARCA5,0.18278019878944685,SMARCA5
41733|PRDM1,0.18366586456016554,PRDM1
5094|BRD2,0.1841940914093939,BRD2
4498|PRDM14,0.1841944698772738,PRDM14
51365|ZIC2,0.18488344816383762,ZIC2
5063|BRD4,0.1861799539879185,BRD4
57016|STAT5,0.18643855404315585,STAT5
40138|MAF,0.18841038513045236,MAF
33688|FAIRE,0.18852995312441903,FAIRE
39616|RELB,0.18940583332006672,RELB
41829|ZBTB17,0.18992025990657113,ZBTB17
37872|CRY1,0.18998010434777235,CRY1
2630|CHD7,0.1905816553985522,CHD7
41939|HIRA,0.19271564560916055,HIRA
43113|PRDM5,0.19335043047184955,PRDM5
50928|RB1,0.19500272953411166,RB1
57987|HDAC1,0.19554074112752637,HDAC1
53433|HNRNPL,0.19637509568541742,HNRNPL
43713|BATF,0.196611490191202,BATF
181|TCF7,0.19707306592165802,TCF7
44151|MKL1,0.19716909987235595,MKL1
52813|KLF4,0.19788500903559927,KLF4
58145|SIX4,0.19939594816370748,SIX4
58100|SUMO1,0.1999908647670651,SUMO1
51861|DNMT3B,0.20035659026377653,DNMT3B
34531|POU3F2,0.20197467570483318,POU3F2
55331|NBN,0.2040055250686505,NBN
50584|IRF7,0.20441132302279263,IRF7
44368|KMT2A,0.20481191289571052,KMT2A
487|MYB,0.20524063911565937,MYB
34445|OGT,0.20746781051904112,OGT
5185|BCL6,0.20872014865592742,BCL6
55268|E2F3,0.21024336292825765,E2F3
56523|PRDM9,0.21026590944358667,PRDM9
41978|EHMT2,0.21144414667801578,EHMT2
48981|WT1 ,0.21193340044986894,WT1 
56519|RYBP,0.21365989186957146,RYBP
59433|HEY2,0.21407105018948683,HEY2
52828|GRHL2,0.2150250842764802,GRHL2
35734|CDX2,0.2150497989663444,CDX2
37900|ETS2,0.21514289742504794,ETS2
8610|POLR3D,0.2157129436572485,POLR3D
33821|IRF4,0.21945293382497463,IRF4
36217|CUX2,0.2196841875046835,CUX2
50722|UBTF,0.22183739305886593,UBTF
48869|HNF4A,0.22199192360183065,HNF4A
44847|BIRA,0.22238139521977388,BIRA
56092|BAZ1A,0.22519509569033422,BAZ1A
5101|BRD3,0.22544875478276805,BRD3
32928|SMC5,0.2287854123188607,SMC5
43424|ASCL2,0.2289573729178578,ASCL2
173|RXRG,0.22909458091027665,RXRG
51240|NLRC5,0.23129299439938142,NLRC5
9165|KDM4D,0.23167329460723804,KDM4D
54705|BRWD1,0.23428741764846583,BRWD1
47783|GRHL3,0.23755247940583707,GRHL3
43438|USP16,0.23843015141772494,USP16
52904|MED23,0.24066302391460484,MED23
36726|TOP2A,0.24104355675588618,TOP2A
44157|SPNS1,0.2424271834483382,SPNS1
44163|ELK4,0.24269339064654963,ELK4
39068|SMC3,0.24351088952968641,SMC3
5071|CDK9,0.244322304320444,CDK9
38310|SIX2,0.24693053578371157,SIX2
37879|HIF1A,0.24741424918490598,HIF1A
47110|POLR3A,0.24762869794382011,POLR3A
44671|FOXP3,0.25067999508751276,FOXP3
33117|KDM5A,0.25090607544723315,KDM5A
33038|SRSF1,0.25090607544723315,SRSF1
50744|HAND1,0.25090607544723315,HAND1
53644|STAT6,0.2509278808525779,STAT6
9039|KDM6A,0.2509891409039477,KDM6A
37913|EGR2,0.2509891409039477,EGR2
54697|KDM1A,0.2509891409039477,KDM1A
33103|ZNF335,0.2509891409039477,ZNF335
9166|KDM4A,0.2509891409039477,KDM4A
33093|JUN,0.2509891409039477,JUN
44676|ESRRB,0.2510041820079546,ESRRB
48962|H3Pan,0.2510326272553794,H3Pan
57970|HMGA2,0.25103980325589215,HMGA2
54559|TBX3,0.25112289346863403,TBX3
41944|KDM6B,0.2520667932084757,KDM6B
56133|RBFOX2,0.25344128529824067,RBFOX2
5463|KDM5B,0.2548762701096911,KDM5B
51958|NFATC2,0.2554897094079822,NFATC2
8976|ZFP42,0.2560594768657781,ZFP42
2763|STAT5B,0.2560594768657781,STAT5B
54238|BARX1,0.2565592706347376,BARX1
44846|BCL11A,0.2597589977594421,BCL11A
37886|E2F1,0.2597969022569501,E2F1
51138|YAP1,0.2617587843332729,YAP1
59039|DDX5,0.2618241462167321,DDX5
52819|SIRT6,0.2624171932626706,SIRT6
36206|MBD4,0.2628763860845426,MBD4
52258|ETV2,0.26356194483005424,ETV2
6022|MAPK8,0.26440920200655094,MAPK8
54461|MYOG,0.26535905501775175,MYOG
37891|MAFF,0.2665147837849987,MAFF
3269|FOXO1,0.26701639513360753,FOXO1
35211|NCOA3,0.2683698510839372,NCOA3
41363|PHF20,0.2687227514436344,PHF20
44033|TBX21,0.2693052240298925,TBX21
49082|GM6871,0.27146270768186437,GM6871
41360|WDR5,0.2715625210262058,WDR5
9334|TBP,0.27363697574222023,TBP
34088|HIST1H1D,0.2766237536337751,HIST1H1D
55168|CREB1,0.27683304061553177,CREB1
49165|SUV39H1,0.2773030284126082,SUV39H1
4534|SIRT1,0.2774806628973731,SIRT1
2645|NR1H2,0.2775546942650232,NR1H2
50238|SPIB,0.2790285962662149,SPIB
53639|NLRP3,0.2796483548126777,NLRP3
39315|TFE3,0.27974070898320225,TFE3
43872|Ubiquitin,0.2808678617305585,Ubiquitin
35812|DICER1,0.2816711940371611,DICER1
416|LBR,0.28252076642996726,LBR
56594|ACTB,0.2847607873765081,ACTB
56273|AEBP2,0.28488989830794437,AEBP2
53411|PPARA,0.28523188625338425,PPARA
47461|TWIST1,0.28813055280295063,TWIST1
44168|ELK3,0.2883901688172807,ELK3
4414|PAXIP1,0.28891537029683484,PAXIP1
43789|POU3F1,0.2898062800247277,POU3F1
44828|GSK3B,0.2905784507197841,GSK3B
4507|RAG2,0.2910045320709845,RAG2
57972|TET3,0.2918534881621012,TET3
8867|TAF1,0.29228366410100415,TAF1
14|KLF1,0.29367545684958357,KLF1
43830|PARP1,0.2944595729395655,PARP1
56595|BAZ1B,0.2948068450059872,BAZ1B
38466|CBFB,0.2964329817602082,CBFB
50130|EED,0.29677511540721524,EED
50383|PWP1,0.2979446164863885,PWP1
51106|CHD8,0.29861471281748697,CHD8
55621|POU3F3,0.29891353502490875,POU3F3
53868|HOPX,0.2991839257109509,HOPX
54143|GATA4,0.30078467511694257,GATA4
35593|CLK1,0.3015343581112395,CLK1
41753|ASH1L,0.3022278948238258,ASH1L
43317|EP400,0.3022568776682979,EP400
44214|NCOA1,0.3029103737534689,NCOA1
52506|MEF2D,0.3060322237797165,MEF2D
54454|SLC5A5,0.3078747719155829,SLC5A5
49166|SUV39H2,0.3100691714489086,SUV39H2
52736|RAD23B,0.31069101217598405,RAD23B
56415|ZMIZ1,0.3108397895557325,ZMIZ1
55097|HRAS,0.31287907894586126,HRAS
52891|NCOR2,0.31619692229683627,NCOR2
5367|LUZP1,0.3165548229399089,LUZP1
53760|MYO1C,0.3174493555986549,MYO1C
3249|FLI1,0.3179404309172726,FLI1
37866|PER2,0.318818061754756,PER2
41635|POLR3G,0.3195686220232305,POLR3G
4397|MAFA,0.3200307973048065,MAFA
4510|RAP1A,0.3221665322160601,RAP1A
41410|KLF3,0.32365575546741043,KLF3
51887|PRDM16,0.3250850095964352,PRDM16
46403|PAX5,0.32820353937099483,PAX5
51241|RFX5,0.3292175411899287,RFX5
3295|GTF2F1,0.3295877056934083,GTF2F1
57817|GFI1B,0.33860177449377343,GFI1B
35557|SFMBT1,0.3430540886313958,SFMBT1
52882|TRIM33,0.3432266629463849,TRIM33
39374|ERG,0.3445136694651387,ERG
47819|GLI3,0.3445883280996993,GLI3
53388|TOP2B,0.3445883280996993,TOP2B
34603|USF1,0.348732727592681,USF1
54378|BCL3,0.3511204607578324,BCL3
41201|AURKB,0.3514506739424961,AURKB
41418|PSMB1,0.3529481434050475,PSMB1
52365|RARA,0.3583719119994854,RARA
44156|MKL2,0.36993928302327483,MKL2
41323|CTR9,0.3739015166000257,CTR9
41427|ZNF322A,0.37655354752831177,ZNF322A
5581|SOX6,0.3789469236508099,SOX6
37404|THRB,0.38089653009515445,THRB
37574|PHOX2A,0.38124986751694423,PHOX2A
3033|MLLT3,0.3822771141356323,MLLT3
58629|DZIP3,0.38827080981478657,DZIP3
44716|ETS1,0.3892379308766683,ETS1
55334|AICDA,0.3928280391773632,AICDA
53798|BATF3,0.39471217834089994,BATF3
47024|NFE2,0.39514322147815156,NFE2
41638|POLR3GL,0.40379061435234453,POLR3GL
34590|THRA,0.4069346978962706,THRA
35722|ELF5,0.41790871573825855,ELF5
50031|NFATC1,0.421527310219059,NFATC1
38633|RBBP5,0.42247867443012516,RBBP5
56606|SATB2,0.42907565025673067,SATB2
6024|NFYA,0.43156977120399076,NFYA
5919|TBX20,0.43800226372571116,TBX20
51910|STAT2,0.44003238114220034,STAT2
5221|LYL1,0.44144111191443225,LYL1
59458|AFF3,0.4443383058164966,AFF3
59362|CSTF3,0.44844262421863346,CSTF3
5809|HELLS,0.4603598748972203,HELLS
34262|JUND,0.46255844992091244,JUND
38069|CBX3,0.4677538498955033,CBX3
53728|SMCHD1,0.46879681160358666,SMCHD1
5471|IKZF3,0.48227838971642945,IKZF3
56517|CBX2,0.48922110607389324,CBX2
3244|ERCC3,0.503266316898032,ERCC3
44448|OVOL2,0.5050791725302157,OVOL2
52226|E4F1,0.5080460082108049,E4F1
52986|KDM3A,0.5095317091305276,KDM3A
44547|NUP98PHF23,0.5145664854945635,NUP98PHF23
2759|STAT4,0.5155553402361306,STAT4
48582|HSF2,0.5172812688322443,HSF2
36669|NR2F2,0.5200875754885279,NR2F2
50096|NR0B1,0.5258317357116333,NR0B1
38059|KDM5C,0.5268563118571388,KDM5C
52238|RUVBL1,0.5295289071214082,RUVBL1
37902|E2F4,0.5343289760679337,E2F4
5372|SS18,0.5454309244311504,SS18
1594|LMO2,0.5546281471216064,LMO2
8744|NR1D2,0.5624417393648742,NR1D2
51966|LDB1,0.5767493473533463,LDB1
34412|FOSL2,0.5942603541747553,FOSL2
3040|CRX,0.6163520086307592,CRX
55316|TRIM63,0.6207491496332118,TRIM63
44629|TEAD2,0.6253927636330685,TEAD2
32994|TAF7L,0.6303612983682294,TAF7L
34108|H1F0,0.6308816921051816,H1F0
48137|VDR,0.6509690591622046,VDR
39103|MZF1,0.6566627122911792,MZF1
47569|PPARGC1A,0.6567098089510945,PPARGC1A
49710|FOXL2,0.659982561863043,FOXL2
53676|DMRT1,0.6599858635540954,DMRT1
2816|ATF7IP,0.6616309410526924,ATF7IP
54551|ONECUT1,0.6695395826770614,ONECUT1
2855|KDM2A,0.6739918657295991,KDM2A
46468|USF2,0.6747408055751679,USF2
57296|TEC,0.6780694183150309,TEC
35619|GRIP1,0.6820855811559199,GRIP1
433|TFCP2,0.6980867126438699,TFCP2
8305|RCOR1,0.7027180776061687,RCOR1
294|MSX1,0.7073673044295972,MSX1
44216|NCOA2,0.7097319036237033,NCOA2
9260|HDAC2,0.7114279541742583,HDAC2
3292|GTF2A1,0.7143725536716855,GTF2A1
33052|HEXIM1,0.7238637612234013,HEXIM1
48619|NFYB,0.7620279140786401,NFYB
44342|KLF5,0.7625877370376405,KLF5
8567|HOXB4,0.7781170165480451,HOXB4
44788|ATF7,0.7839096801578577,ATF7
58831|SUMO2,0.7887679094308734,SUMO2
39349|MTOR,0.7908645547677442,MTOR
48620|NFYC,0.7968325421090292,NFYC
35242|PBX1,0.8062380152909044,PBX1
47615|MSL1,0.8248883559932711,MSL1
39355|ESRRA,0.8290881204217023,ESRRA
1533|TBX5,0.8323091850338914,TBX5
46424|MAFK,0.8349332924042501,MAFK
41588|TFAP2A,0.8389160817553796,TFAP2A
48081|CBX8,0.8398631676231441,CBX8
33909|GLI1,0.8601854389994524,GLI1
39301|CAPG,0.8774948996953384,CAPG
8841|ELL,0.8792023755706636,ELL
9241|MYF5,0.885709952873032,MYF5
46426|ZC3H11A,0.8977907972063303,ZC3H11A
34441|TET2,0.9046105786134294,TET2
42961|PARP14,0.9047602387773034,PARP14
56095|TGIF1,0.9067234578983995,TGIF1
39078|GFI1,0.9086572258642543,GFI1
58851|MTA2,0.9125331850761993,MTA2
34641|MYBL1,0.9156882187997157,MYBL1
54346|KCR,0.9202010241322504,KCR
35550|SP1,0.932507341806037,SP1
3294|GTF2E2,0.9357910610069525,GTF2E2
39311|NCAPD3,0.9484281417575668,NCAPD3
56036|RFX3,0.9580015151725421,RFX3
52795|FGFR1,0.9599742227876465,FGFR1
"35263|PKNOX1, PKNOX2",0.9621655563543536,"PKNOX1, PKNOX2"
37690|ELL3,0.9628649723689534,ELL3
48849|GPS2,0.9727774820186778,GPS2
52111|INSM1,0.9732603318404566,INSM1
2865|NIPBL,0.9733334804914716,NIPBL
44787|ATF2,0.974076062211511,ATF2
52659|PKNOX1,0.975576849512357,PKNOX1
50445|AUTS2,0.9780724789196862,AUTS2
39702|IRF3,0.9803950776028225,IRF3
33751|NKX2-1,0.9815593915779366,NKX2-1
9267|ZFPM1,0.9848388278508261,ZFPM1
47427|INO80,0.9866494228287928,INO80
36913|NFIB,0.9894585423113066,NFIB
36772|ZNF143,0.9906072275424519,ZNF143
46492|ZKSCAN1,0.9911771676739117,ZKSCAN1
8910|NKX2-5,0.9917563053374854,NKX2-5
48407|TAF9B,0.993099757094323,TAF9B
44533|PHC1,0.9934961093153841,PHC1
49690|DMRTB1,0.9935577007101312,DMRTB1
46427|ZNF384,0.9936626650676472,ZNF384
59181|NR0B2,0.9937278538949484,NR0B2
