,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
404|DPY30,0.0013977347824893403,Mus musculus,DPY30,cr,E14,Embryonic Stem Cell,Embryo,1.0,DPY30
33753|SOX17,0.0014179664633219605,Mus musculus,SOX17,tf,KH2,Embryonic Stem Cell,Embryo,1.0,SOX17
1596|TAL1,0.0014368477321210244,Mus musculus,TAL1,tf,HPC-7,Haematopoietic Progenitor Cell,Bone Marrow,1.0,TAL1
52802|FGFR1,0.0014848510341638733,Mus musculus,FGFR1,not sure,,Embryonic Stem Cell,Embryo,1.0,FGFR1
58544|SMAD1/5,0.0015113008168721456,Mus musculus,SMAD1/5,tf,E14,Embryonic Stem Cell,Embryo,1.0,SMAD1/5
3280|GATA3,0.0015189364435835007,Mus musculus,GATA3,tf,,T Lymphocyte,Blood,0.0,GATA3
43318|EP400,0.0015193616749904974,Mus musculus,EP400,cr,,Embryonic Stem Cell,Embryo,1.0,EP400
51015|SCML2,0.001520638020769156,Mus musculus,SCML2,tf,,Germline stem cell,,1.0,SCML2
33618|RPA,0.0015248995726957586,Mus musculus,RPA,other,,B Lymphocyte,,1.0,RPA
39861|IRF4,0.00153302654266646,Mus musculus,IRF4,predicted transcription factor,,T Lymphocyte,Spleen,1.0,IRF4
56096|HDAC1,0.0015411929934557931,Mus musculus,HDAC1,cr,,Embryonic Stem Cell,Embryo,1.0,HDAC1
3039|CRX,0.0015659309319571368,Mus musculus,CRX,other,,,Retina,1.0,CRX
48386|H3S28ph,0.0015685558726854856,Mus musculus,H3S28ph,other,Swiss-3T3,Fibroblast,,1.0,H3S28ph
42589|STAT3,0.0015790957965160994,Mus musculus,STAT3,tf,,Neuron,,1.0,STAT3
41615|NFE2,0.001591917650837117,Mus musculus,NFE2,tf,,Erythroblast,Fetal Liver,1.0,NFE2
43701|RUNX2,0.001591917650837117,Mus musculus,RUNX2,tf,MC3T3,Osteoblast,,1.0,RUNX2
55758|IRF8,0.0016354970527516356,Mus musculus,IRF8,tf,,B Lymphocyte,,1.0,IRF8
2855|KDM2A,0.0016491936308677554,Mus musculus,KDM2A,cr,V6.5,Embryonic Stem Cell,Embryo,1.0,KDM2A
8606|AICDA,0.001665304974630322,Mus musculus,AICDA,cr,,B Lymphocyte,Blood,1.0,AICDA
327|SIN3A,0.0016717895510953635,Mus musculus,SIN3A,tf,C2C12,Myoblast,Muscle,0.0,SIN3A
40114|RORC,0.0016782971145617494,Mus musculus,RORC,tf,,Th17,,1.0,RORC
43874|Ubiquitin,0.0016937277364730712,Mus musculus,Ubiquitin,other,3T3-L1,Preadipocyte,Adipose,1.0,Ubiquitin
45|NPAS4,0.0017130790138602762,Mus musculus,NPAS4,tf,,Cortical Neuron,Neuric,0.0,NPAS4
36218|CUX2,0.0017149776783206645,Mus musculus,CUX2,tf,,Epithelium,Liver,1.0,CUX2
8919|KDM6B,0.0017369504181369926,Mus musculus,KDM6B,cr,,Cortex,,1.0,KDM6B
43114|PRDM5,0.0017757749768564427,Mus musculus,PRDM5,tf,,Embryonic Fibroblast,,1.0,PRDM5
39374|ERG,0.0018054097006059086,Mus musculus,ERG,other,,Epithelium,Prostate,0.0,ERG
47611|MCRS1,0.001807899451703412,Mus musculus,MCRS1,cr,WT26,Embryonic Stem Cell,Embryo,1.0,MCRS1
58961|SETDB1,0.0018138876000242468,Mus musculus,SETDB1,cr,10T1/2,Fibroblast,Embryo,1.0,SETDB1
53010|KAT2B,0.0018208965673697625,Mus musculus,KAT2B,predicted chromatin regulator,,Embryonic Stem Cell,,1.0,KAT2B
54659|MEIS1,0.0018711670111785945,Mus musculus,MEIS1,tf,,,optic cups,1.0,MEIS1
57943|USP16,0.0018928724316364508,Mus musculus,USP16,other,,Hematopoietic stem and progenitor cell,Bone Marrow,1.0,USP16
2864|NIPBL,0.00190590070921885,Mus musculus,NIPBL,not sure,V6.5,Embryonic Stem Cell,Embryo,1.0,NIPBL
6024|NFYA,0.001916381939630337,Mus musculus,NFYA,tf,,Neural Progenitor Cell,Brain,1.0,NFYA
41418|PSMB1,0.0019269155145506922,Mus musculus,PSMB1,not sure,3T3-L1,Preadipocyte,Adipose,1.0,PSMB1
55330|NBN,0.0019327313758995461,Mus musculus,NBN,tf,,B Lymphocyte,Spleen,1.0,NBN
56299|BRD3,0.0019465414000785664,Mus musculus,BRD3,predicted chromatin regulator,5.3S,Haematopoietic Progenitor Cell,,1.0,BRD3
5843|STAT5B,0.001951342636808445,Mus musculus,STAT5B,tf,,Hepatocyte,Liver,1.0,STAT5B
44448|OVOL2,0.002004870689304084,Mus musculus,OVOL2,tf,,Epithelium,,1.0,OVOL2
38179|TBX21,0.0020098023811646946,Mus musculus,TBX21,tf,,Th1,,1.0,TBX21
52365|RARA,0.0020285327653759896,Mus musculus,RARA,tf,,T Lymphocyte,Spleen,1.0,RARA
4561|SPNS1,0.0020285327653759896,Mus musculus,SPNS1,tf,,Th2,Blood,1.0,SPNS1
8616|POLR2B,0.0020362912229996604,Mus musculus,POLR2B,tf,,Epithelium,Liver,1.0,POLR2B
9165|KDM4D,0.0020659071031583157,Mus musculus,KDM4D,cr,,Dendritic Cell,,1.0,KDM4D
8610|POLR3D,0.0020715386391305423,Mus musculus,POLR3D,tf,,Epithelium,Liver,1.0,POLR3D
54301|H3F3B,0.0020732308139966554,Mus musculus,H3F3B,other,R1,Embryonic Stem Cell,Embryo,0.0,H3F3B
44677|ESRRB,0.0020732308139966554,Mus musculus,ESRRB,tf,ZhBTc4,Embryonic Stem Cell,Embryo,1.0,ESRRB
55191|CBX5,0.002080578074051611,Mus musculus,CBX5,cr,,Embryonic Stem Cell,,1.0,CBX5
34037|GLI3,0.0020839770781807395,Mus musculus,GLI3,tf,,Epithelium,Embryo,1.0,GLI3
48698|SOX3,0.0021090574434472387,Mus musculus,SOX3,predicted transcription factor,,Neural Progenitor Cell,,1.0,SOX3
52905|MEF2C,0.002113072649177834,Mus musculus,MEF2C,predicted transcription factor,,Cortical Neuron,,1.0,MEF2C
39926|GFI1,0.0021136468156450327,Mus musculus,GFI1,predicted transcription factor,,,Bone Marrow,1.0,GFI1
41364|WDR5,0.00211997199278079,Mus musculus,WDR5,cr,,Neural Progenitor Cell,,0.0,WDR5
53682|JUN,0.00211997199278079,Mus musculus,JUN,tf,,Embryonic Fibroblast,,1.0,JUN
5581|SOX6,0.002133832008358127,Mus musculus,SOX6,tf,,Myoblast,Muscle,0.0,SOX6
3036|CREBBP,0.0021367298344232843,Mus musculus,CREBBP,cr,,Hepatocyte,Liver,1.0,CREBBP
43789|POU3F1,0.0021396312288045373,Mus musculus,POU3F1,tf,,Embryonic Stem Cell,Embryo,1.0,POU3F1
48108|HNF4A,0.002143117617667436,Mus musculus,HNF4A,tf,,Epithelium,Liver,0.0,HNF4A
47460|TWIST1,0.0021501058538524,Mus musculus,TWIST1,tf,,Epithelium,Limb Bud,1.0,TWIST1
