,0
MS00057|HIC2,5.1429893755498664e-12
MS00333|Mafb,5.430180531889673e-12
MS00174|RUNX2,5.952639328435252e-12
MS00533|LBX2,6.026027502913706e-12
MA0155|INSM1,7.259131309215514e-12
UP00031|Zbtb3,8.663983413461532e-12
MS00241|Tcfap2a,9.84850530625292e-12
MA0067|PAX2,9.939833016730231e-12
MC00530|TFAP2A,1.1572040353145107e-11
UP00024|Glis2,1.2669325494997129e-11
MS00308|CREB3,1.5956252782578398e-11
MS00331|MAFK,1.7072447267415762e-11
MS00230|TFAP2B,1.81061950018417e-11
MC00475|Nfic,1.8171975455958895e-11
MS00312|ZBTB7B,2.4223463171193187e-11
M00733|SMAD4,2.8943133048194736e-11
MC00374|TFAP2C,3.0343362148940135e-11
MC00128|CTCF,3.271570805230122e-11
M00644|UBP1,3.841844711801659e-11
M00444|VDR,4.973977773535999e-11
UP00412|Etv5,5.275113169907306e-11
MS00050|GCM2,5.588119484619228e-11
M00341|GABPB1,8.136659350977702e-11
MC00532|Mycn,9.027502249628537e-11
MC00412|VDR,9.615239063760689e-11
MC00502|HMGN1,9.671987298182303e-11
MS00342|XBP1,9.96786225131732e-11
MS00721|GMEB2,1.078068153327778e-10
MS00290|ZBED1,1.2673935160979348e-10
M00449|ZIC2,1.3758234535295125e-10
MS00256|HES7,1.5176009028694902e-10
MS00207|TBX21,1.6107311549572806e-10
MC00295|Esr1,2.0395965552616475e-10
MC00373|Mxi1,2.529100090001666e-10
MC00461|Max,2.775792670580559e-10
MC00335|ESR1,3.241803724620422e-10
M00961|VDR,3.311851779894418e-10
UP00413|Elf4,3.440795231192554e-10
MS00302|CEBPG,4.122030098269582e-10
MC00367|GABPA,4.2644412401811686e-10
MS00479|ZNF784,4.3880852049813094e-10
MS00179|SCRT1,5.204515253398101e-10
MS00255|HES5,5.405950651876603e-10
UP00035|HIC1,6.680295331699911e-10
MC00187|Ctcf,7.979623404321218e-10
MC00192|ZNF263,8.600407898055656e-10
MS00288|TFE3,9.230385888845152e-10
UP00423|Gm5454,9.606501460207803e-10
MC00278|ETS1,9.795332345523148e-10
MC00168|ERG,1.0823604528443305e-09
MA0073|RREB1,1.1102884190368128e-09
M00448|ZIC1,1.1144380461045936e-09
M01744|ZFP42,1.2644727610483592e-09
MS00694|RXRG,1.3933779909372737e-09
M00467|ZNF423,1.658916096892017e-09
MC00163|Creb1,3.0160126114309878e-09
MS00100|MYBL1,3.0377632849611826e-09
MS00188|MGA,3.1558746114763634e-09
MC00362|Arntl,3.484097691450969e-09
MS00834|ELF4,3.5280027354517834e-09
MC00394|MYC,4.08352419943743e-09
MS00335|Mafb,5.193847217944355e-09
UP00020|ATF1,5.510488692574166e-09
MS00025|FEV,5.70089906686881e-09
UP00018|Irf4,5.7188727809135185e-09
MS00392|Foxg1,6.635165975367456e-09
MS00662|NR3C2,8.317726815172166e-09
