,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
43431|USP16,0.22409950531145167,Mus musculus,USP16,other,V6.5,Embryonic Stem Cell,Embryo,1.0,USP16
32921|BRCA1,0.22423436466329252,Mus musculus,BRCA1,predicted chromatin regulator,,B Lymphocyte,Spleen,1.0,BRCA1
51242|NLRC5,0.22423436466329252,Mus musculus,NLRC5,tf,,T Lymphocyte,,1.0,NLRC5
53760|MYO1C,0.22488233062529767,Mus musculus,MYO1C,predicted chromatin regulator,,Embryonic Fibroblast,,1.0,MYO1C
41939|HIRA,0.22504448781223224,Mus musculus,HIRA,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,HIRA
39599|RELB,0.2251255912462036,Mus musculus,RELB,tf,,Dendritic Cell,Bone Marrow,0.0,RELB
52903|MED23,0.2251255912462036,Mus musculus,MED23,predicted transcription factor,,Cortical Neuron,,0.0,MED23
59039|DDX5,0.2251255912462036,Mus musculus,DDX5,predicted chromatin regulator,,Th17,,1.0,DDX5
53639|NLRP3,0.2252067112371146,Mus musculus,NLRP3,other,,T Lymphocyte,Spleen,1.0,NLRP3
52819|SIRT6,0.22526080042809565,Mus musculus,SIRT6,cr,,Embryonic Stem Cell,Embryo,1.0,SIRT6
52256|ETV2,0.2254501705259631,Mus musculus,ETV2,tf,,Embryonic Stem Cell,Embryo,1.0,ETV2
49165|SUV39H1,0.2255584224600784,Mus musculus,SUV39H1,cr,,Neural Progenitor Cell,,1.0,SUV39H1
56595|BAZ1B,0.22577501455316296,Mus musculus,BAZ1B,predicted chromatin regulator,,Embryonic Fibroblast,,1.0,BAZ1B
57964|HMGA2,0.22615433364368906,Mus musculus,HMGA2,tf,,Embryonic Fibroblast,,1.0,HMGA2
44828|GSK3B,0.2264526225413564,Mus musculus,GSK3B,other,,Embryonic Fibroblast,,1.0,GSK3B
41551|CLK1,0.2265068807450013,Mus musculus,CLK1,not sure,,,Liver,1.0,CLK1
55308|PRDM1,0.2265340125990677,Mus musculus,PRDM1,tf,,,Small Intestine,0.0,PRDM1
43871|Ubiquitin,0.22664255836138,Mus musculus,Ubiquitin,other,3T3-L1,Preadipocyte,Adipose,1.0,Ubiquitin
54378|BCL3,0.2268054320323803,Mus musculus,BCL3,tf,CGR8,Embryonic Stem Cell,Embryo,1.0,BCL3
56093|BAZ1A,0.2268597379269661,Mus musculus,BAZ1A,cr,,,Nucleus Accumben,1.0,BAZ1A
43830|PARP1,0.2269412105201725,Mus musculus,PARP1,not sure,,,Nucleus Accumben,1.0,PARP1
41753|ASH1L,0.22699553474873274,Mus musculus,ASH1L,cr,,Embryonic Stem Cell,Embryo,1.0,ASH1L
9938|AHR,0.2272944490486808,Mus musculus,AHR,tf,,Dendritic Cell,Bone Marrow,0.0,AHR
8607|POLR3A,0.2274032001242593,Mus musculus,POLR3A,tf,,Epithelium,Liver,1.0,POLR3A
37823|PER1,0.2281107961602376,Mus musculus,PER1,predicted transcription factor,,Epithelium,Liver,0.0,PER1
41418|PSMB1,0.2284105360262171,Mus musculus,PSMB1,not sure,3T3-L1,Preadipocyte,Adipose,1.0,PSMB1
38069|CBX3,0.2296390463925917,Mus musculus,CBX3,cr,,Embryonic Stem Cell,Embryo,1.0,CBX3
8867|TAF1,0.2299125504756689,Mus musculus,TAF1,tf,E14,Embryonic Stem Cell,Embryo,1.0,TAF1
49082|GM6871,0.2303779256217694,Mus musculus,GM6871,other,ES3,Embryonic Stem Cell,Embryo,0.0,GM6871
33641|RAD51,0.2308712493050021,Mus musculus,RAD51,predicted chromatin regulator,,B Lymphocyte,,1.0,RAD51
8976|ZFP42,0.23117301504618756,Mus musculus,ZFP42,tf,,Embryonic Stem Cell,Embryo,0.0,ZFP42
49167|SUV39H2,0.23144753841109214,Mus musculus,SUV39H2,cr,,Neural Progenitor Cell,,1.0,SUV39H2
58145|SIX4,0.23150246488868315,Mus musculus,SIX4,tf,C2C12,Myoblast,Muscle,0.0,SIX4
5367|LUZP1,0.23161233964189404,Mus musculus,LUZP1,not sure,E14,Embryonic Stem Cell,Embryo,1.0,LUZP1
48644|ARID3A,0.2317222434536497,Mus musculus,ARID3A,tf,J1,Embryonic Stem Cell,Embryo,1.0,ARID3A
44159|ELK1,0.2325199145109744,Mus musculus,ELK1,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK1
333|SIN3B,0.23257498253193026,Mus musculus,SIN3B,tf,C2C12,Myoblast,Muscle,0.0,SIN3B
