,0,TF
UP00055|HBP1,0.14304875317813245,HBP1
MC00355|SRF,0.14892136993025168,SRF
MC00369|Myod1,0.14995971184583748,Myod1
UP00019|ZBTB12,0.15057699844944156,ZBTB12
MS00336|NFE2,0.15281874109930393,NFE2
UP00182|HOXA6,0.1563619070925752,HOXA6
MS00045|GATA5,0.1566621110539489,GATA5
MC00452|STAT5B,0.1594758670702622,STAT5B
MS00582|OTX1,0.16017536419994782,OTX1
MS00454|EVX1,0.16056467760357637,EVX1
MS00412|ZNF410,0.1620031102549468,ZNF410
MA0030|FOXF2,0.16271150013239732,FOXF2
UP00185|PBX1,0.16843677026611134,PBX1
UP00238|Nkx6-3,0.16847000620131397,Nkx6-3
MS00605|RAXL1,0.17073417309643832,RAXL1
MS00517|Hoxc10,0.17520408967911835,Hoxc10
M01364|Obox2,0.1794048966597814,Obox2
UP00263|Hoxb8,0.18252006194103665,Hoxb8
M01195|TBX22,0.19330345843732397,TBX22
MS00503|HOXC12,0.19394945198012656,HOXC12
UP00120|Lbx2,0.19428044364765784,Lbx2
MS00219|TEAD1,0.19740584786964685,TEAD1
MS00669|Nr2f6,0.19756849632992426,Nr2f6
MS00596|PITX3,0.1989927663244709,PITX3
MS00455|EVX2,0.20681226150115165,EVX2
MS00575|NKX6-1,0.21215583528489743,NKX6-1
MC00411|BATF,0.2131881757530004,BATF
MS00096|TGIF2,0.2138176273339842,TGIF2
MS00525|Hoxd9,0.21547101189548717,Hoxd9
MS00450|EN2,0.21645436097613246,EN2
UP00126|DLX2,0.221478214589434,DLX2
MS00653|NR2E1,0.22723470370521442,NR2E1
MS00442|EMX1,0.22830880821679148,EMX1
MS00059|HSF2,0.23112607661030557,HSF2
UP00151|BARX2,0.23367793589194769,BARX2
MS00431|DLX5,0.23428915461960406,DLX5
MS00424|CART1,0.24760640181997506,CART1
MS00191|TBR1,0.2524433821901388,TBR1
MS00690|ONECUT3,0.252634935744982,ONECUT3
MS00452|ESX1,0.25487189459690224,ESX1
M01300|HMGA2,0.25973703060632874,HMGA2
MS00542|LHX9,0.26707158074943793,LHX9
MC00507|Meis1,0.2698833410226984,Meis1
MS00489|HOXB13,0.272971525968676,HOXB13
MS00106|NFAT5,0.2732520944043243,NFAT5
UP00221|PHOX2A,0.28099600672518443,PHOX2A
MC00233|Pou5f1,0.284061084177278,Pou5f1
M01151|Dmrtc2,0.28454519401133643,Dmrtc2
MS00467|Gbx1,0.2848582600474941,Gbx1
UP00389|NKX3-1,0.28920691365815165,NKX3-1
MS00222|TEAD3,0.291672967468077,TEAD3
MS00387|FOXP3,0.29471918816873827,FOXP3
M01306|ZNF217,0.2962547103060087,ZNF217
UP00159|SIX2,0.2979941449853678,SIX2
UP00080|Gata5,0.3024917720235892,Gata5
MS00270|Mlx,0.30317221304249564,Mlx
MS00250|BHLHE23,0.31350407542356845,BHLHE23
MS00041|Spic,0.3150094983522229,Spic
MC00119|GATA3,0.3174600111656918,GATA3
MS00531|ISX,0.32569050274085326,ISX
MS00485|HOXA13,0.3263921964741271,HOXA13
MS00439|Dlx1,0.33209043198584703,Dlx1
MS00595|PITX1,0.33669141181895046,PITX1
MS00197|TBX1,0.34610314419818977,TBX1
MS00528|ISL2,0.34960830665635123,ISL2
UP00215|Vax1,0.35418034929109243,Vax1
MS00470|HESX1,0.3565003866106735,HESX1
MC00508|Batf,0.3598599907564684,Batf
MS00430|DLX4,0.3613172392584518,DLX4
MC00504|Scx,0.3651984022021299,Scx
MS00432|DLX6,0.3653785301529354,DLX6
MS00599|PRRX1,0.3713333663319966,PRRX1
MS00606|RAX,0.3745444384621199,RAX
MS00614|SHOX,0.37507967251865826,SHOX
UP00138|Bsx,0.3760695808425948,Bsx
MS00444|EMX2,0.37920722336921925,EMX2
MS00511|HOXD13,0.3828644849921692,HOXD13
MS00446|EN1,0.3884632119091739,EN1
M01326|GSX2,0.39163739531821307,GSX2
UP00161|Hmbox1,0.3933550899539585,Hmbox1
MC00276|EOMES,0.39867768618658045,EOMES
MC00162|LMO2,0.40209432900177333,LMO2
UP00152|Arx,0.403742510378299,Arx
UP00140|Hoxd1,0.40815109593156473,Hoxd1
MC00157|Tead4,0.4174521109769621,Tead4
UP00078|ARID3A,0.41924887242264464,ARID3A
MS00581|Nkx6-1,0.4204140635527228,Nkx6-1
MC00311|FOXA1,0.42481417417655765,FOXA1
MS00603|PRRX2,0.4297528056957689,PRRX2
MA0125|Nobox,0.4329278225100778,Nobox
MS00613|SHOX2,0.4330675536684152,SHOX2
M01282|PPARA,0.4347809089125624,PPARA
MC00416|Rbfox2,0.43717907056746286,Rbfox2
MS00521|Hoxd3,0.443521539550485,Hoxd3
MC00326|Gata3,0.4438165930218958,Gata3
M00062|IRF1,0.4446057359004366,IRF1
MC00506|Spi1,0.44578570587207067,Spi1
MS00811|RARB,0.44944863249358136,RARB
MS00717|Tp53,0.45272036353760103,Tp53
MS00429|DLX3,0.45569386695859415,DLX3
UP00044|Mafk,0.45625535785955085,Mafk
MS00559|MSX1,0.4568826682904479,MSX1
MS00053|TCF7L1,0.4589411004258368,TCF7L1
MC00327|Gata1,0.4665763068662899,Gata1
MS00755|SOX21,0.4748280823563178,SOX21
MA0103|ZEB1,0.47637489378885656,ZEB1
MC00117|GATA6,0.47846472012368857,GATA6
MS00354|FOXC2,0.496510427102274,FOXC2
MS00615|Shox2,0.5002704748277871,Shox2
MS00553|MEOX2,0.5051592004920158,MEOX2
MC00287|POU2F2,0.5064630028129006,POU2F2
MS00493|HOXB5,0.5069699629698883,HOXB5
MS00280|OLIG3,0.5109072592481145,OLIG3
MS00491|HOXB2,0.5131845634358763,HOXB2
MS00440|Dlx2,0.5145193196153995,Dlx2
MS00473|HMX1,0.5159047986019274,HMX1
MC00118|GATA2,0.5256456164699967,GATA2
UP00158|POU1F1,0.5267089461216017,POU1F1
MC00514|Cbfa2t2,0.5383729489728624,Cbfa2t2
MC00349|Jun,0.5412773527830801,Jun
MC00205|Stat5a,0.5434994899103076,Stat5a
MC00309|TCF7L2,0.543513587920144,TCF7L2
MS00516|Hoxa2,0.5439264421601991,Hoxa2
MS00802|Sox1,0.5443590471265641,Sox1
M01268|NR1H4,0.5541682681914479,NR1H4
MS00619|Uncx,0.5553462505450537,Uncx
MS00245|BHLHA15,0.5602654131760777,BHLHA15
MC00165|Pdx1,0.5615748275913632,Pdx1
MC00178|Nkx2-5,0.5663999586649116,Nkx2-5
MS00628|Vsx1,0.5854592843750812,Vsx1
MS00076|MEF2D,0.5870013960678075,MEF2D
UP00037|Zfp105,0.5976885594787078,Zfp105
MA0365|RFX1,0.5994345997405564,RFX1
MC00105|Foxa2,0.6009214896792194,Foxa2
MS00585|OTX2,0.6021329294938118,OTX2
UP00218|Dbx2,0.6024045275205994,Dbx2
MS00578|NOTO,0.6057800259279948,NOTO
UP00195|SIX3,0.610450462471318,SIX3
M01230|ZNF333,0.6132154743974463,ZNF333
UP00213|HOXA9,0.6318395819416884,HOXA9
MS00349|FOXC1,0.6377302988481983,FOXC1
UP00388|SIX6,0.6399376471832807,SIX6
UP00139|Nkx1-2,0.6433717922486795,Nkx1-2
MS00272|NEUROG2,0.6482542480357667,NEUROG2
MC00329|Srf,0.6521811872546408,Srf
MS00492|HOXB3,0.6591114082224698,HOXB3
M01479|POU6F1,0.6627376272644308,POU6F1
M00454|ARID5B,0.6628305418560241,ARID5B
MC00354|Neurod1,0.6711629898260377,Neurod1
MC00260|Pax3,0.6739371352451016,Pax3
MC00120|GATA1,0.6834021713046198,GATA1
MS00520|Hoxd13,0.6849065063116113,Hoxd13
MS00359|FOXD3,0.6898941189432111,FOXD3
MS00055|HOMEZ,0.6911026446131854,HOMEZ
M01147|DMRT2,0.7024608861141329,DMRT2
MS00402|ALX3,0.7043716468896799,ALX3
MS00054|Tcf7,0.7100784465584784,Tcf7
MS00803|Sox3,0.713036484053602,Sox3
MS00474|HMX2,0.713273823240439,HMX2
MS00593|PHOX2B,0.7224741467589391,PHOX2B
MS00540|LHX6,0.724756720837519,LHX6
MC00325|Gata2,0.7253288276101022,Gata2
MC00269|SOX2,0.7253594949003201,SOX2
MS00627|VSX2,0.7293558832732372,VSX2
MS00427|DLX1,0.7312571931111322,DLX1
MC00324|Gata4,0.7318697924887957,Gata4
MS00369|FOXJ3,0.7330162124240104,FOXJ3
MS00145|POU3F4,0.7335270676252335,POU3F4
UP00023|Sox30,0.740575333057792,Sox30
MS00604|Prrx2,0.7429006611132873,Prrx2
MS00624|VENTX,0.7434673929962066,VENTX
MS00277|OLIG2,0.746246746087516,OLIG2
MC00217|FOXA2,0.7495039579873708,FOXA2
UP00096|SOX13,0.750157517507636,SOX13
MC00141|Stat1,0.7540365860889453,Stat1
MS00532|Irx3,0.7547730518105984,Irx3
MS00366|FOXJ2,0.7587707890647604,FOXJ2
UP00175|Lhx9,0.7590682139334598,Lhx9
UP00034|Sox7,0.7707896611521758,Sox7
MS00551|MEOX1,0.7742851697190838,MEOX1
MS00563|Meox2,0.7744160336188405,Meox2
UP00248|Pax7,0.7744762059218421,Pax7
UP00014|Sox17,0.7769635990342995,Sox17
MS00547|Lhx4,0.7823788807768872,Lhx4
UP00186|MEIS1,0.790522513659572,MEIS1
MS00011|BCL6B,0.7914004555712242,BCL6B
MS00788|SRY,0.793389910819732,SRY
MS00577|NKX6-2,0.7946892116192457,NKX6-2
MS00501|Zfp652,0.8001877549584911,Zfp652
UP00252|HOXC5,0.8025757395737709,HOXC5
UP00091|SOX5,0.8035485791339542,SOX5
MS00356|FOXD2,0.8037095829970583,FOXD2
MS00753|SOX18,0.8067407797130752,SOX18
MC00226|Nanog,0.8077795852611825,Nanog
MS00083|MEIS2,0.8158097521198854,MEIS2
UP00166|BARHL1,0.8176021926986364,BARHL1
MS00126|PAX7,0.8190829803289511,PAX7
MS00748|SOX14,0.8196556384169827,SOX14
MS00373|FOXL1,0.8201859768220963,FOXL1
M00478|CDC5L,0.831222048796634,CDC5L
MS00149|POU4F2,0.832342541334145,POU4F2
UP00206|Hoxb7,0.832645043738083,Hoxb7
M00294|Foxf1a,0.8331055768214238,Foxf1a
MS00472|HMBOX1,0.8332094965826194,HMBOX1
UP00212|LHX5,0.8379661941353391,LHX5
MS00543|LMX1A,0.8386090164094954,LMX1A
UP00137|Hoxb3,0.840510321927991,Hoxb3
UP00237|Otp,0.8430691601746461,Otp
MS00406|Alx1,0.8484984603101251,Alx1
UP00169|LMX1B,0.849469444536437,LMX1B
UP00130|LHX3,0.8516030562617407,LHX3
M01453|ALX1,0.8517816882069265,ALX1
M00289|FOXI1,0.8542776936983869,FOXI1
MS00536|LHX2,0.8556840123176994,LHX2
M01435|Rhox6,0.8559904727799365,Rhox6
M01108|HOXA7,0.8561232525162772,HOXA7
MS00151|POU4F3,0.8642406085664771,POU4F3
MC00474|BCL11A,0.8709980849238161,BCL11A
MS00465|GSX1,0.8715946217772295,GSX1
UP00242|HOXC8,0.8739975007592711,HOXC8
UP00051|Sox8,0.8786503335140423,Sox8
MC00501|FOXP1,0.8800253323850844,FOXP1
M01148|DMRT3,0.8803635925326563,DMRT3
UP00128|POU3F2,0.8808397185137369,POU3F2
MS00557|MNX1,0.8815989188009039,MNX1
MS00513|HOXD8,0.8816751745224135,HOXD8
MS00269|MYF6,0.8823313336223538,MYF6
UP00189|HOXA5,0.8853609734188139,HOXA5
MS00249|BHLHE22,0.8864092897763622,BHLHE22
UP00129|Pou3f1,0.8866162715177487,Pou3f1
MC00146|Smad2/3,0.8875112068594624,Smad2/3
MS00142|POU3F3,0.8906323396009319,POU3F3
M01075|ZBTB16,0.9004358999301243,ZBTB16
MS00589|PDX1,0.9012151126136476,PDX1
MS00634|CUX2,0.9053830224980806,CUX2
MS00774|SOX8,0.9066509686984672,SOX8
M01483|Dbx1,0.9083578375817887,Dbx1
UP00262|Lhx1,0.9105637042380708,Lhx1
UP00241|HOXD3,0.9128460565428215,HOXD3
M01694|Yy2,0.919696703736318,Yy2
M01127|ISL1,0.9219451539250993,ISL1
MS00731|ZNF713,0.9224469578211836,ZNF713
MS00794|Sox10,0.9225319380528298,Sox10
MS00458|En2,0.9284976244320953,En2
MS00153|POU5F1P1,0.930556550852323,POU5F1P1
MS00476|HNF1A,0.930855403814024,HNF1A
MC00288|POU2F1,0.933973301315428,POU2F1
UP00260|Hoxc6,0.9360671742282369,Hoxc6
UP00155|Hmx2,0.9365815777158424,Hmx2
MS00136|POU2F3,0.9367190163644089,POU2F3
MS00487|HOXA2,0.9406549773794963,HOXA2
M01722|RORB,0.9408512473789842,RORB
MS00033|SPDEF,0.9505623361812343,SPDEF
UP00121|Hoxd10,0.9547521374468092,Hoxd10
M01150|Dmrta2,0.9549836295644696,Dmrta2
UP00194|IRX4,0.9560186514453607,IRX4
UP00168|Hoxd8,0.9562340641571309,Hoxd8
UP00082|Zfp187,0.959821637970911,Zfp187
MS00052|SOX9,0.9629583055126323,SOX9
UP00012|Bbx,0.9637943666495425,Bbx
MS00155|POU6F2,0.9639520379573239,POU6F2
MS00621|VAX2,0.9645156665842433,VAX2
UP00113|HOXC4,0.9647437647495091,HOXC4
MS00438|DUXA,0.9649871031714699,DUXA
UP00075|Sox15,0.9655961959881357,Sox15
MS00051|LEF1,0.9657775114439406,LEF1
MS00276|OLIG1,0.9661964100299347,OLIG1
M01149|Dmrta1,0.9665857357976999,Dmrta1
MS00388|Foxc1,0.9675708511852624,Foxc1
UP00101|Sox12,0.9753439940339991,Sox12
MS00405|ARX,0.9769084941557031,ARX
MS00408|Alx4,0.9804356676117979,Alx4
UP00211|Pou3f3,0.9824163272882142,Pou3f3
MA0031|FOXD1,0.9829628671547114,FOXD1
UP00064|Sox18,0.9845174426243922,Sox18
MC00303|Sox2,0.9856828008749356,Sox2
UP00244|TLX2,0.9864683077590403,TLX2
M01146|DMRT1,0.9879383567665994,DMRT1
MS00620|VAX1,0.989706704544457,VAX1
MS00573|NKX3-2,0.9898206133380123,NKX3-2
MS00437|DRGX,0.9927121330617799,DRGX
UP00004|Sox14,0.9951005086026076,Sox14
MC00378|POU5F1,0.9960603596175809,POU5F1
UP00071|Sox21,0.9961629679752214,Sox21
MS00425|CDX1,0.9964164816199842,CDX1
MS00148|POU4F1,0.9964568641423026,POU4F1
M01399|Hlx,0.9969130976155496,Hlx
MS00597|PROP1,0.997188214995067,PROP1
MC00455|Cdx2,0.9973325327310907,Cdx2
UP00041|Foxj1,0.99788891643868,Foxj1
MS00732|CPEB1,0.9981815492459529,CPEB1
MC00389|CDX2,0.9983029277726841,CDX2
M01004|IKZF2,0.998895214360053,IKZF2
MS00564|Msx3,0.9989834986673745,Msx3
UP00150|IRX6,0.9990967040070119,IRX6
MS00561|MSX2,0.9991857652919334,MSX2
MS00728|ZNF232,0.9992359382777831,ZNF232
M01723|SATB1,0.999538824377628,SATB1
MA0040|Foxq1,0.9999791690540335,Foxq1
