,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
59039|DDX5,0.14059883275312862,Mus musculus,DDX5,predicted chromatin regulator,,Th17,,1.0,DDX5
56094|BAZ1A,0.14065919335268728,Mus musculus,BAZ1A,cr,,,Nucleus Accumben,1.0,BAZ1A
41856|POU3F2,0.14073970150590376,Mus musculus,POU3F2,tf,,Fibroblast,Embryo,1.0,POU3F2
57964|HMGA2,0.1408001031370873,Mus musculus,HMGA2,tf,,Embryonic Fibroblast,,1.0,HMGA2
35313|TNNI2,0.14086052235442947,Mus musculus,TNNI2,other,,Osteoblast,,1.0,TNNI2
49165|SUV39H1,0.14092095915863262,Mus musculus,SUV39H1,cr,,Neural Progenitor Cell,,1.0,SUV39H1
39599|RELB,0.14094110866834614,Mus musculus,RELB,tf,,Dendritic Cell,Bone Marrow,0.0,RELB
49166|SUV39H2,0.14102172624945195,Mus musculus,SUV39H2,cr,,Neural Progenitor Cell,,1.0,SUV39H2
54454|SLC5A5,0.14102172624945195,Mus musculus,SLC5A5,predicted transcription factor,,Myoblast,Muscle,1.0,SLC5A5
52819|SIRT6,0.14104188553042035,Mus musculus,SIRT6,cr,,Embryonic Stem Cell,Embryo,1.0,SIRT6
56595|BAZ1B,0.1410822099553678,Mus musculus,BAZ1B,predicted chromatin regulator,,Embryonic Fibroblast,,1.0,BAZ1B
52903|MED23,0.1411427112507002,Mus musculus,MED23,predicted transcription factor,,Cortical Neuron,,0.0,MED23
43431|USP16,0.14124358583239033,Mus musculus,USP16,other,V6.5,Embryonic Stem Cell,Embryo,1.0,USP16
55942|TP53,0.14148588420202995,Mus musculus,TP53,predicted transcription factor,,,Spleen,0.0,TP53
44828|GSK3B,0.1415262946308783,Mus musculus,GSK3B,other,,Embryonic Fibroblast,,1.0,GSK3B
54220|EBF1,0.14160713894801769,Mus musculus,EBF1,tf,,Pre-B Lymphocyte,,1.0,EBF1
9148|GATA3,0.14180938659690778,Mus musculus,GATA3,tf,,Erythroblast,Fetal Liver,0.0,GATA3
49082|GM6871,0.14189034040303744,Mus musculus,GM6871,other,ES3,Embryonic Stem Cell,Embryo,0.0,GM6871
53866|HOPX,0.14195107628906284,Mus musculus,HOPX,tf,,,Embryonic Heart,1.0,HOPX
43789|POU3F1,0.1421131246936274,Mus musculus,POU3F1,tf,,Embryonic Stem Cell,Embryo,1.0,POU3F1
37823|PER1,0.1421536563507822,Mus musculus,PER1,predicted transcription factor,,Epithelium,Liver,0.0,PER1
41895|EGR2,0.1422144685043098,Mus musculus,EGR2,tf,,T Lymphocyte,Spleen,0.0,EGR2
50130|EED,0.14227529825976915,Mus musculus,EED,cr,,Embryonic Stem Cell,,1.0,EED
8976|ZFP42,0.14235643198228215,Mus musculus,ZFP42,tf,,Embryonic Stem Cell,Embryo,0.0,ZFP42
33083|IRF4,0.14235643198228215,Mus musculus,IRF4,predicted transcription factor,,B Lymphocyte,,0.0,IRF4
33044|SRSF1,0.1424375969997954,Mus musculus,SRSF1,other,,Embryonic Fibroblast,Embryo,0.0,SRSF1
8867|TAF1,0.14245789314419566,Mus musculus,TAF1,tf,E14,Embryonic Stem Cell,Embryo,1.0,TAF1
48578|HSF1,0.14251879331382822,Mus musculus,HSF1,tf,,Spermatocyte,Testis,0.0,HSF1
53639|NLRP3,0.14314912606041702,Mus musculus,NLRP3,other,,T Lymphocyte,Spleen,1.0,NLRP3
9334|TBP,0.14335286032448974,Mus musculus,TBP,tf,V6.5,Embryonic Stem Cell,Embryo,0.0,TBP
9157|NKX3-1,0.1434751948207773,Mus musculus,NKX3-1,tf,,Epithelium,Prostate,0.0,NKX3-1
43317|EP400,0.14353638849084774,Mus musculus,EP400,cr,,Embryonic Stem Cell,Embryo,0.0,EP400
3246|ETS1,0.1436180074528018,Mus musculus,ETS1,tf,,T Lymphocyte,Blood,1.0,ETS1
51238|NLRC5,0.14369965773245913,Mus musculus,NLRC5,tf,,T Lymphocyte,,0.0,NLRC5
34088|HIST1H1D,0.1438834853742918,Mus musculus,HIST1H1D,cr,,Embryonic Stem Cell,Embryo,1.0,HIST1H1D
3269|FOXO1,0.14390392045573794,Mus musculus,FOXO1,tf,,Lymphocyte,Spleen,1.0,FOXO1
39673|PRDM14,0.14392435749484528,Mus musculus,PRDM14,tf,,Embryonic Stem Cell,Embryo,1.0,PRDM14
37891|MAFF,0.14392435749484528,Mus musculus,MAFF,tf,,Dendritic Cell,Bone Marrow,0.0,MAFF
53|SRF,0.1440061252283163,Mus musculus,SRF,tf,,Cortical Neuron,Neuric,0.0,SRF
39605|REL,0.14404702084157722,Mus musculus,REL,tf,,Dendritic Cell,Bone Marrow,1.0,REL
35797|FOXP3,0.14416975466951215,Mus musculus,FOXP3,tf,,T Lymphocyte,Blood,0.0,FOXP3
5367|LUZP1,0.1442516163799612,Mus musculus,LUZP1,not sure,E14,Embryonic Stem Cell,Embryo,1.0,LUZP1
53638|STAT6,0.14441543378731594,Mus musculus,STAT6,tf,,T Lymphocyte,Spleen,0.0,STAT6
44162|ELK1,0.14449738948690027,Mus musculus,ELK1,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK1
32929|SMC5,0.14455887682338892,Mus musculus,SMC5,predicted chromatin regulator,,B Lymphocyte,Spleen,0.0,SMC5
32925|BRCA1,0.1445998781726915,Mus musculus,BRCA1,predicted chromatin regulator,,B Lymphocyte,Spleen,0.0,BRCA1
50930|RB1,0.1447229292222959,Mus musculus,RB1,tf,,Embryonic Fibroblast,,0.0,RB1
57972|TET3,0.14482552562217782,Mus musculus,TET3,cr,J1,Embryonic Stem Cell,Embryo,1.0,TET3
9164|KDM4D,0.1448665778921946,Mus musculus,KDM4D,cr,,Dendritic Cell,,0.0,KDM4D
48962|H3Pan,0.1448665778921946,Mus musculus,H3Pan,other,,Spermatid,Testis,0.0,H3Pan
50744|HAND1,0.1448665778921946,Mus musculus,HAND1,not sure,,Mesodermal Cell,,0.0,HAND1
33117|KDM5A,0.1448665778921946,Mus musculus,KDM5A,cr,,Embryonic Stem Cell,Embryo,0.0,KDM5A
49163|CBX5,0.1449281709870791,Mus musculus,CBX5,cr,,Neural Progenitor Cell,,0.0,CBX5
9166|KDM4A,0.1449281709870791,Mus musculus,KDM4A,cr,,Dendritic Cell,,0.0,KDM4A
9640|BCL6,0.1449281709870791,Mus musculus,BCL6,predicted transcription factor,,Macrophage,Bone Marrow,0.0,BCL6
32911|BRDU,0.14496924284380944,Mus musculus,BRDU,other,,B Lymphocyte,Spleen,0.0,BRDU
48429|PTF1A,0.14496924284380944,Mus musculus,PTF1A,tf,,,Neural Tube,0.0,PTF1A
54559|TBX3,0.14496924284380944,Mus musculus,TBX3,tf,R1,Embryonic Stem Cell,Embryo,0.0,TBX3
33121|DDIT3,0.14496924284380944,Mus musculus,DDIT3,tf,,Embryonic Fibroblast,Embryo,0.0,DDIT3
32973|FOXO3,0.14496924284380944,Mus musculus,FOXO3,tf,,Macrophage,Bone Marrow,0.0,FOXO3
56273|AEBP2,0.1450103225355061,Mus musculus,AEBP2,tf,,,Thymus,0.0,AEBP2
49734|MEF2A,0.14503086531951676,Mus musculus,MEF2A,tf,C2C12,Myoblast,Muscle,1.0,MEF2A
37882|E2F1,0.1450514100623288,Mus musculus,E2F1,tf,,Dendritic Cell,Bone Marrow,1.0,E2F1
