,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
6030|MAPK8,0.002663130304941308,Mus musculus,MAPK8,not sure,,Neuron,Brain,1.0,MAPK8
51780|GATA1,0.002686338784558706,Mus musculus,GATA1,tf,G1E,Erythroid Cell,Blood,1.0,GATA1
44147|SRF,0.002710946474384912,Mus musculus,SRF,tf,NIH-3T3,Fibroblast,Embryo,1.0,SRF
51105|CHD8,0.0027221395109986446,Mus musculus,CHD8,cr,,Cortex,Frontal,1.0,CHD8
50494|CTNNB1,0.002776320036273372,Mus musculus,CTNNB1,tf,,,Nucleus Accumben,1.0,CTNNB1
54705|BRWD1,0.002826898768033048,Mus musculus,BRWD1,cr,,B Lymphocyte,,0.0,BRWD1
50081|Input,0.0028868166796970907,Mus musculus,Input,other,J1,Embryonic Stem Cell,Embryo,1.0,Input
44221|SMARCC2,0.0029707378433087017,Mus musculus,SMARCC2,cr,,Epithelium,Face,1.0,SMARCC2
47612|MCRS1,0.0029868070674365366,Mus musculus,MCRS1,cr,WT26,Embryonic Stem Cell,Embryo,1.0,MCRS1
56519|RYBP,0.003010369357042242,Mus musculus,RYBP,tf,E14Tg2A,Embryonic Stem Cell,,1.0,RYBP
58544|SMAD1/5,0.0030452687703638737,Mus musculus,SMAD1/5,tf,E14,Embryonic Stem Cell,Embryo,1.0,SMAD1/5
51861|DNMT3B,0.0031591909936968254,Mus musculus,DNMT3B,cr,,Embryonic Stem Cell,,1.0,DNMT3B
33618|RPA,0.003170985057257769,Mus musculus,RPA,other,,B Lymphocyte,,1.0,RPA
52800|NR4A1,0.0031880248441205072,Mus musculus,NR4A1,tf,,Embryonic Stem Cell,Embryo,1.0,NR4A1
9249|MYOD1,0.003216175088277151,Mus musculus,MYOD1,tf,,Myoblast,Skeletal Muscle,0.0,MYOD1
39310|TMPRSS4,0.0032606038700677686,Mus musculus,TMPRSS4,other,V6.5,Embryonic Stem Cell,Embryo,1.0,TMPRSS4
36995|MBD3,0.0032654587623620057,Mus musculus,MBD3,cr,,Embryonic Stem Cell,Embryo,1.0,MBD3
2888|SETDB1,0.0032771552832732143,Mus musculus,SETDB1,cr,V6.5,Embryonic Stem Cell,Embryo,1.0,SETDB1
4584|STAT3,0.0033104045196566956,Mus musculus,STAT3,tf,,Embryonic Stem Cell,Embryo,1.0,STAT3
50583|IRF7,0.00331427406570739,Mus musculus,IRF7,tf,,Myeloid Cell,Bone Marrow,0.0,IRF7
52659|PKNOX1,0.003322392955319997,Mus musculus,PKNOX1,tf,,Embryonic Stem Cell,,1.0,PKNOX1
2251|CDX2,0.003336685536891537,Mus musculus,CDX2,tf,,Embryonic Stem Cell,Embryo,1.0,CDX2
6024|NFYA,0.0033438230202793573,Mus musculus,NFYA,tf,,Neural Progenitor Cell,Brain,1.0,NFYA
4121|HDAC3,0.0033972604072536328,Mus musculus,HDAC3,cr,,Hepatocyte,Liver,1.0,HDAC3
39374|ERG,0.0034272876838327138,Mus musculus,ERG,other,,Epithelium,Prostate,0.0,ERG
51091|GATA6,0.0034922928889359883,Mus musculus,GATA6,tf,,,Pancreas,0.0,GATA6
50930|RB1,0.00349453836665492,Mus musculus,RB1,tf,,Embryonic Fibroblast,,0.0,RB1
33065|IRF4,0.0034973628506674292,Mus musculus,IRF4,predicted transcription factor,,B Lymphocyte,,0.0,IRF4
52819|SIRT6,0.0034973628506674292,Mus musculus,SIRT6,cr,,Embryonic Stem Cell,Embryo,1.0,SIRT6
52903|MED23,0.0034973628506674292,Mus musculus,MED23,predicted transcription factor,,Cortical Neuron,,0.0,MED23
37566|FOXO1,0.0035116488977445237,Mus musculus,FOXO1,tf,,T Lymphocyte,,0.0,FOXO1
3003|CBX5,0.0035411918316776703,Mus musculus,CBX5,cr,,Hepatocyte,Liver,1.0,CBX5
48849|GPS2,0.0035789773268638525,Mus musculus,GPS2,not sure,3T3-L1,Preadipocyte,Adipose,0.0,GPS2
37888|ETS2,0.0036064956269708515,Mus musculus,ETS2,tf,,Dendritic Cell,Bone Marrow,1.0,ETS2
44794|PBX1,0.0036207705333080598,Mus musculus,PBX1,tf,3T3-L1,Preadipocyte,Adipose,1.0,PBX1
46492|ZKSCAN1,0.003640201523359421,Mus musculus,ZKSCAN1,tf,MEL,Erythroid Progenitor Cell,Blood,1.0,ZKSCAN1
41858|POU3F2,0.0036855786548800062,Mus musculus,POU3F2,tf,,Neural Progenitor Cell,,1.0,POU3F2
35792|FOXP3,0.003706041917483527,Mus musculus,FOXP3,tf,,T Lymphocyte,Blood,0.0,FOXP3
44781|NCOR1,0.0037692230640802293,Mus musculus,NCOR1,cr,3T3-L1,Preadipocyte,Adipose,0.0,NCOR1
48108|HNF4A,0.0037896704537925263,Mus musculus,HNF4A,tf,,Epithelium,Liver,0.0,HNF4A
36909|ERF,0.0037898736391720478,Mus musculus,ERF,tf,,Embryonic Fibroblast,,1.0,ERF
1596|TAL1,0.0038043920024762867,Mus musculus,TAL1,tf,HPC-7,Haematopoietic Progenitor Cell,Bone Marrow,1.0,TAL1
43114|PRDM5,0.0038067770672935985,Mus musculus,PRDM5,tf,,Embryonic Fibroblast,,1.0,PRDM5
57943|USP16,0.003849577735333287,Mus musculus,USP16,other,,Hematopoietic stem and progenitor cell,Bone Marrow,1.0,USP16
41965|RUNX3,0.003868615586339663,Mus musculus,RUNX3,tf,,Natural Killer Cell,Spleen,1.0,RUNX3
47024|NFE2,0.0038867924755121575,Mus musculus,NFE2,tf,,Epithelium,Liver,1.0,NFE2
5065|BRD4,0.003916682478903588,Mus musculus,BRD4,cr,,Macrophage,Bone Marrow,1.0,BRD4
55330|NBN,0.003974873735872186,Mus musculus,NBN,tf,,B Lymphocyte,Spleen,1.0,NBN
