,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
54555|ONECUT1,0.40106501827193664,Mus musculus,ONECUT1,tf,,,Liver,1.0,ONECUT1
44787|ATF2,0.4038189785296026,Mus musculus,ATF2,predicted transcription factor,3T3-L1,Preadipocyte,Adipose,1.0,ATF2
51106|CHD8,0.41041826130014253,Mus musculus,CHD8,cr,,Cortex,Brain,1.0,CHD8
8867|TAF1,0.41041826130014253,Mus musculus,TAF1,tf,E14,Embryonic Stem Cell,Embryo,1.0,TAF1
48058|MSL1,0.4186892504472553,Mus musculus,MSL1,cr,E14,Embryonic Stem Cell,Embryo,1.0,MSL1
48583|HSF2,0.4196937554650834,Mus musculus,HSF2,tf,,Spermatocyte,Testis,0.0,HSF2
4511|RAP1A,0.41985343087079785,Mus musculus,RAP1A,not sure,,Fibroblast,Embryo,1.0,RAP1A
59458|AFF3,0.4269279981647857,Mus musculus,AFF3,tf,,Embryonic Fibroblast,,1.0,AFF3
34590|THRA,0.42956968676327817,Mus musculus,THRA,tf,C17.2,Neural Progenitor Cell,,1.0,THRA
36913|NFIB,0.4313472133593633,Mus musculus,NFIB,predicted transcription factor,,Hair Follicle Stem Cell,Mouse Back Skin,0.0,NFIB
41201|AURKB,0.43240811359549375,Mus musculus,AURKB,not sure,,B Lymphocyte,Spleen,1.0,AURKB
43431|USP16,0.4364364427883709,Mus musculus,USP16,other,V6.5,Embryonic Stem Cell,Embryo,1.0,USP16
56094|BAZ1A,0.4364364431823323,Mus musculus,BAZ1A,cr,,,Nucleus Accumben,1.0,BAZ1A
41410|KLF3,0.43754235547425147,Mus musculus,KLF3,tf,,Embryonic Fibroblast,,1.0,KLF3
51886|PRDM16,0.4456186476051541,Mus musculus,PRDM16,tf,,,Adipose,1.0,PRDM16
51325|ZIC1/2,0.4490912464748796,Mus musculus,ZIC1/2,other,,,Cerebellum,1.0,ZIC1/2
50847|WT1 ,0.449823443021424,Mus musculus,WT1 ,tf,,Cortex,Kidney,1.0,WT1 
5367|LUZP1,0.44986135265023663,Mus musculus,LUZP1,not sure,E14,Embryonic Stem Cell,Embryo,1.0,LUZP1
33118|KDM5A,0.4610566632953585,Mus musculus,KDM5A,cr,,Embryonic Stem Cell,Embryo,1.0,KDM5A
34445|OGT,0.4614219454722102,Mus musculus,OGT,other,,Embryonic Stem Cell,Embryo,0.0,OGT
56159|EZH1,0.4624306315704315,Mus musculus,EZH1,cr,,Fibroblast,,1.0,EZH1
44846|BCL11A,0.4627010915264103,Mus musculus,BCL11A,predicted transcription factor,MEL,Erythroid Progenitor Cell,Blood,1.0,BCL11A
8848|CBFB,0.4638006158526852,Mus musculus,CBFB,predicted transcription factor,,Thymocyte,Thymus,1.0,CBFB
1594|LMO2,0.4773848020880873,Mus musculus,LMO2,not sure,HPC-7,Haematopoietic Progenitor Cell,Bone Marrow,1.0,LMO2
46416|ZNF384,0.4806739006649263,Mus musculus,ZNF384,tf,CH12,Lymphoblastoid,Blood,1.0,ZNF384
47025|NFE2,0.4826984173072705,Mus musculus,NFE2,tf,,Epithelium,Liver,1.0,NFE2
50392|RORA,0.4843614990101658,Mus musculus,RORA,tf,,,Liver,1.0,RORA
49690|DMRTB1,0.4848501513330102,Mus musculus,DMRTB1,tf,,,Testis,1.0,DMRTB1
47457|SOX4,0.4877029528682725,Mus musculus,SOX4,tf,,Progenitor B cell,Fetal Liver,1.0,SOX4
8606|AICDA,0.5031979757561198,Mus musculus,AICDA,cr,,B Lymphocyte,Blood,1.0,AICDA
37905|IRF1,0.5151885859450267,Mus musculus,IRF1,tf,,Dendritic Cell,Bone Marrow,0.0,IRF1
33940|EHF,0.5166119566921701,Mus musculus,EHF,tf,,,Corneal Epithelium,0.0,EHF
56415|ZMIZ1,0.5176047625284275,Mus musculus,ZMIZ1,not sure,8946,T Lymphocyte,,1.0,ZMIZ1
58830|SUMO1,0.5253385491905851,Mus musculus,SUMO1,other,,Dendritic Cell,Bone Marrow,1.0,SUMO1
22|CREB1,0.5268795739876053,Mus musculus,CREB1,tf,,Cortical Neuron,Neuric,1.0,CREB1
52891|NCOR2,0.5439917212033701,Mus musculus,NCOR2,cr,,Macrophage,Bone,0.0,NCOR2
53760|MYO1C,0.5481863363151437,Mus musculus,MYO1C,predicted chromatin regulator,,Embryonic Fibroblast,,1.0,MYO1C
2865|NIPBL,0.5505492650691729,Mus musculus,NIPBL,not sure,V6.5,Embryonic Stem Cell,Embryo,1.0,NIPBL
3033|MLLT3,0.5693151054974589,Mus musculus,MLLT3,not sure,,Leukemic Blast Cell,Bone Marrow,1.0,MLLT3
