,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
50212|GTF2B,0.14248850991933104,Mus musculus,GTF2B,tf,,,Heart,0.0,GTF2B
56386|TCF4,0.14352227176434557,Mus musculus,TCF4,tf,,Crypt cells,,1.0,TCF4
35821|SUPT6H,0.1452383504199402,Mus musculus,SUPT6H,tf,C2C12,Myoblast,Muscle,1.0,SUPT6H
54230|GATA6,0.14734884689998096,Mus musculus,GATA6,tf,,Stem cell,,1.0,GATA6
36996|CHD4,0.14789298647363563,Mus musculus,CHD4,cr,,iPSC,,1.0,CHD4
58298|RFX2,0.14870549660967047,Mus musculus,RFX2,tf,,,Testis,1.0,RFX2
50079|TAL1,0.14965260172608252,Mus musculus,TAL1,tf,J1,Embryonic Stem Cell,Embryo,1.0,TAL1
38468|HSF1,0.15068259489142832,Mus musculus,HSF1,tf,,Striatal Cell,,1.0,HSF1
8836|STAG2,0.15178393492108955,Mus musculus,STAG2,not sure,,Fibroblast,Embryo,1.0,STAG2
38610|STAT5A,0.15229893496351882,Mus musculus,STAT5A,tf,,T Lymphocyte,Blood,0.0,STAT5A
35677|KMT2C,0.15425298935166898,Mus musculus,KMT2C,cr,,Epithelium,Liver,0.0,KMT2C
33652|H2AFX,0.15681430338472707,Mus musculus,H2AFX,predicted chromatin regulator,,B Lymphocyte,,1.0,H2AFX
52041|EZH1,0.15746927508633424,Mus musculus,EZH1,cr,,,Mammary Gland,0.0,EZH1
52890|HDAC3,0.15825559342584605,Mus musculus,HDAC3,cr,,Macrophage,Bone,0.0,HDAC3
44364|ING1,0.15861001138310227,Mus musculus,ING1,predicted chromatin regulator,C2C12,Myoblast,Muscle,1.0,ING1
39617|RUNX1,0.15971230653816054,Mus musculus,RUNX1,tf,,Dendritic Cell,Bone Marrow,0.0,RUNX1
43908|RELA,0.1616465636895667,Mus musculus,RELA,tf,3T3-L1,Preadipocyte,Adipose,1.0,RELA
44147|SRF,0.16261109020611825,Mus musculus,SRF,tf,NIH-3T3,Fibroblast,Embryo,1.0,SRF
520|GATA2,0.16320947584201068,Mus musculus,GATA2,tf,G1E-ER4,Erythroid Cell,Blood,1.0,GATA2
4412|NR1D1,0.16586618741215348,Mus musculus,NR1D1,tf,,Hepatocyte,Liver,1.0,NR1D1
54446|EBF1,0.1667218166884863,Mus musculus,EBF1,tf,,B Lymphocyte,,1.0,EBF1
52228|TP53,0.1670622119349331,Mus musculus,TP53,predicted transcription factor,,Embryonic Fibroblast,Embryo,1.0,TP53
55268|E2F3,0.16921417331681815,Mus musculus,E2F3,tf,,,intestinal villus,1.0,E2F3
2905|TCF7L1,0.17080004485656047,Mus musculus,TCF7L1,tf,V6.5,Embryonic Stem Cell,Embryo,1.0,TCF7L1
58955|SETDB1,0.17447720908134257,Mus musculus,SETDB1,cr,,Embryonic Stem Cell,,1.0,SETDB1
52983|ARID1A,0.17812165273764385,Mus musculus,ARID1A,predicted transcription factor,,Adipocyte,,1.0,ARID1A
2984|AFF4,0.17937775214919371,Mus musculus,AFF4,tf,,Embryonic Stem Cell,Embryo,1.0,AFF4
9939|AHR,0.17951590823273061,Mus musculus,AHR,tf,,Dendritic Cell,Bone Marrow,0.0,AHR
39314|TFE3,0.17952951477509022,Mus musculus,TFE3,tf,,Embryonic Stem Cell,Embryo,1.0,TFE3
52902|MED1,0.18088539094540218,Mus musculus,MED1,predicted transcription factor,,Cortical Neuron,,1.0,MED1
57987|HDAC1,0.1824515270644575,Mus musculus,HDAC1,cr,,Embryonic Stem Cell,,0.0,HDAC1
51961|ZIC3,0.1837954249612176,Mus musculus,ZIC3,tf,,Embryonic Stem Cell,,1.0,ZIC3
51325|ZIC1/2,0.18466866534785625,Mus musculus,ZIC1/2,other,,,Cerebellum,1.0,ZIC1/2
37899|IRF1,0.18489530866023401,Mus musculus,IRF1,tf,,Dendritic Cell,Bone Marrow,1.0,IRF1
59295|ATF4,0.18510915467304634,Mus musculus,ATF4,tf,,Embryonic Fibroblast,Embryo,1.0,ATF4
44160|ELK1,0.18542784876704949,Mus musculus,ELK1,tf,NIH-3T3,Fibroblast,Embryo,1.0,ELK1
41829|ZBTB17,0.1921146498271173,Mus musculus,ZBTB17,tf,,Neural Progenitor Cell,,1.0,ZBTB17
50597|IRF8,0.19452230524694647,Mus musculus,IRF8,tf,,,Bone Marrow,0.0,IRF8
58100|SUMO1,0.1961413141483888,Mus musculus,SUMO1,other,,Dendritic Cell,Bone Marrow,1.0,SUMO1
51358|PRDM9,0.19798515302754832,Mus musculus,PRDM9,predicted transcription factor,,,Testis,1.0,PRDM9
32927|BRDU,0.19798562618112886,Mus musculus,BRDU,other,,B Lymphocyte,Spleen,1.0,BRDU
4569|STAT3,0.19823281740585713,Mus musculus,STAT3,tf,,T Lymphocyte,Blood,1.0,STAT3
43113|PRDM5,0.19947348043354468,Mus musculus,PRDM5,tf,,Embryonic Fibroblast,,1.0,PRDM5
8346|HOXA9,0.2004314366756177,Mus musculus,HOXA9,tf,,Myeloid Cell,Bone Marrow,0.0,HOXA9
33940|EHF,0.20052159516676088,Mus musculus,EHF,tf,,,Corneal Epithelium,0.0,EHF
9103|TEAD4,0.20300895022450277,Mus musculus,TEAD4,tf,TSC,Trophoblast Stem Cell,Embryo,0.0,TEAD4
40114|RORC,0.20417254625817804,Mus musculus,RORC,tf,,Th17,,1.0,RORC
2630|CHD7,0.20503870915208428,Mus musculus,CHD7,cr,R1,Embryonic Stem Cell,Embryo,1.0,CHD7
52813|KLF4,0.2076967222497182,Mus musculus,KLF4,tf,,Epithelium,,1.0,KLF4
9157|NKX3-1,0.20820971111784037,Mus musculus,NKX3-1,tf,,Epithelium,Prostate,0.0,NKX3-1
41955|RUNX3,0.208371018513625,Mus musculus,RUNX3,tf,,Natural Killer Cell,Spleen,1.0,RUNX3
36703|IKZF1,0.21000546257518576,Mus musculus,IKZF1,tf,,,Thymus,1.0,IKZF1
38373|STAT1,0.2103858418546094,Mus musculus,STAT1,tf,,Macrophage,Bone Marrow,1.0,STAT1
3228|ELL2,0.2128394603877567,Mus musculus,ELL2,predicted chromatin regulator,,Embryonic Stem Cell,Embryo,1.0,ELL2
53248|MED12,0.21290366782016729,Mus musculus,MED12,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,MED12
41939|HIRA,0.21411266880715796,Mus musculus,HIRA,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,HIRA
51861|DNMT3B,0.2152708918551013,Mus musculus,DNMT3B,cr,,Embryonic Stem Cell,,1.0,DNMT3B
44368|KMT2A,0.21597094323080712,Mus musculus,KMT2A,not sure,C2C12,Myoblast,Muscle,1.0,KMT2A
43713|BATF,0.21760055470462897,Mus musculus,BATF,predicted transcription factor,,T Lymphocyte,,1.0,BATF
3004|CBX5,0.21803218886977194,Mus musculus,CBX5,cr,,Hepatocyte,Liver,1.0,CBX5
37872|CRY1,0.21809753378725788,Mus musculus,CRY1,not sure,,Epithelium,Liver,0.0,CRY1
451|SMAD2,0.21825343565118815,Mus musculus,SMAD2,predicted transcription factor,E14,Embryonic Stem Cell,Embryo,1.0,SMAD2
57016|STAT5,0.21856759895078337,Mus musculus,STAT5,tf,,T Lymphocyte,,1.0,STAT5
56089|SMARCA5,0.21991461157331693,Mus musculus,SMARCA5,cr,,,Nucleus Accumben,1.0,SMARCA5
32926|BRCA1,0.22408169961968555,Mus musculus,BRCA1,predicted chromatin regulator,,B Lymphocyte,Spleen,1.0,BRCA1
50928|RB1,0.22437362091704555,Mus musculus,RB1,tf,,Embryonic Fibroblast,,1.0,RB1
5094|BRD2,0.2245912861992701,Mus musculus,BRD2,predicted chromatin regulator,,Macrophage,Bone Marrow,1.0,BRD2
48644|ARID3A,0.2252051141938941,Mus musculus,ARID3A,tf,J1,Embryonic Stem Cell,Embryo,1.0,ARID3A
41733|PRDM1,0.22579585168605476,Mus musculus,PRDM1,tf,,T Lymphocyte,,0.0,PRDM1
34445|OGT,0.22615769810835568,Mus musculus,OGT,other,,Embryonic Stem Cell,Embryo,0.0,OGT
5063|BRD4,0.22619208298508237,Mus musculus,BRD4,cr,,Macrophage,Bone Marrow,1.0,BRD4
50584|IRF7,0.22741464264698869,Mus musculus,IRF7,tf,,Myeloid Cell,Bone Marrow,0.0,IRF7
39616|RELB,0.22863463325253047,Mus musculus,RELB,tf,,Dendritic Cell,Bone Marrow,1.0,RELB
40138|MAF,0.22977467944467844,Mus musculus,MAF,tf,,Th0,,1.0,MAF
58145|SIX4,0.2308776636237317,Mus musculus,SIX4,tf,C2C12,Myoblast,Muscle,0.0,SIX4
181|TCF7,0.23089434397585556,Mus musculus,TCF7,tf,3T3-L1,Preadipocyte,Adipose,1.0,TCF7
53433|HNRNPL,0.23111932354522552,Mus musculus,HNRNPL,predicted transcription factor,,Embryonic Stem Cell,,1.0,HNRNPL
33688|FAIRE,0.23181340783997662,Mus musculus,FAIRE,other,,Epithelium,,0.0,FAIRE
44151|MKL1,0.23220429818365712,Mus musculus,MKL1,tf,NIH-3T3,Fibroblast,Embryo,1.0,MKL1
