,coefficients,cell_line,cell_type,tissue
45135,1.1990377039421487,,,Brain
62425,1.100676213917083,,,Midbrain
64966,-0.4974098727840792,,Embryonic Stem Cell,
45093,-0.4440221228824325,,,Cerebrum
9020,-0.28085958462474775,,B Lymphocyte,Lymph Node
45138,-0.277552529797213,ZhBTc4,Embryonic Stem Cell,Embryo
45115,-0.21803475925662716,,Epithelium,Liver
37614,-0.16899266978431957,,Epithelium,Liver
45097,0.13004182295680475,,Epithelium,Blood
62464,-0.02182871385656376,K562,Erythroblast,Bone Marrow
